metric,winner_model,num_cases_won
overall_mae,tuned,225
overall_mae,mixed_T015_a030_mw3,143
overall_mae,mixed_T010_a030_mw3,130
overall_mae,beam_aware_T015_a030_mw3,2
weighted_mse,mixed_T015_a030_mw3,162
weighted_mse,tuned,161
weighted_mse,mixed_T010_a030_mw3,159
weighted_mse,beam_aware_T015_a030_mw3,18
high_mae,mixed_T010_a030_mw3,185
high_mae,tuned,130
high_mae,mixed_T015_a030_mw3,121
high_mae,beam_aware_T015_a030_mw3,64
outside_mae,tuned,253
outside_mae,mixed_T015_a030_mw3,154
outside_mae,mixed_T010_a030_mw3,93
outside_max_abs_error,tuned,209
outside_max_abs_error,mixed_T015_a030_mw3,121
outside_max_abs_error,mixed_T010_a030_mw3,116
outside_max_abs_error,beam_aware_T015_a030_mw3,54
peak_core_mae,mixed_T010_a030_mw3,150
peak_core_mae,tuned,144
peak_core_mae,mixed_T015_a030_mw3,130
peak_core_mae,beam_aware_T015_a030_mw3,76
peak_shoulder_mae,mixed_T015_a030_mw3,156
peak_shoulder_mae,mixed_T010_a030_mw3,151
peak_shoulder_mae,tuned,101
peak_shoulder_mae,beam_aware_T015_a030_mw3,92
