metric,winner_model,num_cases_won
overall_mae,tuned,223
overall_mae,mixed_T015_a030_mw3,144
overall_mae,mixed_T010_a030_mw3,131
overall_mae,bone_aware_T010_a030_mw3_bf2,2
weighted_mse,mixed_T010_a030_mw3,161
weighted_mse,mixed_T015_a030_mw3,158
weighted_mse,tuned,156
weighted_mse,bone_aware_T010_a030_mw3_bf2,25
high_mae,mixed_T010_a030_mw3,186
high_mae,mixed_T015_a030_mw3,132
high_mae,tuned,126
high_mae,bone_aware_T010_a030_mw3_bf2,56
outside_mae,tuned,252
outside_mae,mixed_T015_a030_mw3,154
outside_mae,mixed_T010_a030_mw3,93
outside_mae,bone_aware_T010_a030_mw3_bf2,1
outside_max_abs_error,tuned,209
outside_max_abs_error,mixed_T015_a030_mw3,114
outside_max_abs_error,mixed_T010_a030_mw3,102
outside_max_abs_error,bone_aware_T010_a030_mw3_bf2,75
peak_core_mae,mixed_T010_a030_mw3,144
peak_core_mae,tuned,132
peak_core_mae,mixed_T015_a030_mw3,126
peak_core_mae,bone_aware_T010_a030_mw3_bf2,98
peak_shoulder_mae,mixed_T015_a030_mw3,162
peak_shoulder_mae,mixed_T010_a030_mw3,144
peak_shoulder_mae,bone_aware_T010_a030_mw3_bf2,111
peak_shoulder_mae,tuned,83
