subset,metric,winner_model,num_cases_won
bone_in_beam_candidate,overall_mae,tuned,73
bone_in_beam_candidate,overall_mae,mixed_T010_a030_mw3,41
bone_in_beam_candidate,overall_mae,mixed_T015_a030_mw3,30
bone_in_beam_candidate,weighted_mse,mixed_T010_a030_mw3,56
bone_in_beam_candidate,weighted_mse,tuned,46
bone_in_beam_candidate,weighted_mse,mixed_T015_a030_mw3,42
bone_in_beam_candidate,high_mae,mixed_T010_a030_mw3,64
bone_in_beam_candidate,high_mae,tuned,48
bone_in_beam_candidate,high_mae,mixed_T015_a030_mw3,32
bone_in_beam_candidate,outside_mae,tuned,82
bone_in_beam_candidate,outside_mae,mixed_T015_a030_mw3,33
bone_in_beam_candidate,outside_mae,mixed_T010_a030_mw3,29
bone_in_beam_candidate,outside_max_abs_error,tuned,73
bone_in_beam_candidate,outside_max_abs_error,mixed_T015_a030_mw3,37
bone_in_beam_candidate,outside_max_abs_error,mixed_T010_a030_mw3,34
bone_in_beam_candidate,peak_core_mae,mixed_T010_a030_mw3,52
bone_in_beam_candidate,peak_core_mae,tuned,51
bone_in_beam_candidate,peak_core_mae,mixed_T015_a030_mw3,41
bone_in_beam_candidate,peak_shoulder_mae,mixed_T010_a030_mw3,57
bone_in_beam_candidate,peak_shoulder_mae,mixed_T015_a030_mw3,55
bone_in_beam_candidate,peak_shoulder_mae,tuned,32
non_bone_candidate,overall_mae,tuned,152
non_bone_candidate,overall_mae,mixed_T015_a030_mw3,114
non_bone_candidate,overall_mae,mixed_T010_a030_mw3,90
non_bone_candidate,weighted_mse,mixed_T015_a030_mw3,128
non_bone_candidate,weighted_mse,tuned,119
non_bone_candidate,weighted_mse,mixed_T010_a030_mw3,109
non_bone_candidate,high_mae,mixed_T010_a030_mw3,143
non_bone_candidate,high_mae,mixed_T015_a030_mw3,113
non_bone_candidate,high_mae,tuned,100
non_bone_candidate,outside_mae,tuned,171
non_bone_candidate,outside_mae,mixed_T015_a030_mw3,121
non_bone_candidate,outside_mae,mixed_T010_a030_mw3,64
non_bone_candidate,outside_max_abs_error,tuned,167
non_bone_candidate,outside_max_abs_error,mixed_T015_a030_mw3,96
non_bone_candidate,outside_max_abs_error,mixed_T010_a030_mw3,93
non_bone_candidate,peak_core_mae,tuned,122
non_bone_candidate,peak_core_mae,mixed_T015_a030_mw3,118
non_bone_candidate,peak_core_mae,mixed_T010_a030_mw3,116
non_bone_candidate,peak_shoulder_mae,mixed_T015_a030_mw3,140
non_bone_candidate,peak_shoulder_mae,mixed_T010_a030_mw3,121
non_bone_candidate,peak_shoulder_mae,tuned,95
