metric,winner_model,num_cases_won
overall_mae,tuned,225
overall_mae,mixed_T015_a030_mw3,144
overall_mae,mixed_T010_a030_mw3,131
weighted_mse,mixed_T015_a030_mw3,170
weighted_mse,mixed_T010_a030_mw3,165
weighted_mse,tuned,165
high_mae,mixed_T010_a030_mw3,207
high_mae,tuned,148
high_mae,mixed_T015_a030_mw3,145
outside_mae,tuned,253
outside_mae,mixed_T015_a030_mw3,154
outside_mae,mixed_T010_a030_mw3,93
outside_max_abs_error,tuned,240
outside_max_abs_error,mixed_T015_a030_mw3,133
outside_max_abs_error,mixed_T010_a030_mw3,127
peak_core_mae,tuned,173
peak_core_mae,mixed_T010_a030_mw3,168
peak_core_mae,mixed_T015_a030_mw3,159
peak_shoulder_mae,mixed_T015_a030_mw3,195
peak_shoulder_mae,mixed_T010_a030_mw3,178
peak_shoulder_mae,tuned,127
